,Original English,Original French,Generated French,BLEU Score,1-Gram,2-Gram,3-Gram,4-Gram
0,This is perfectly illustrated by the UKIP numbties banning people with HIV.,Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.,Cela est parfaitement illustré par les engourdissements de l'UKIP qui interdisent les personnes vivant avec le VIH.,5.1945147945938015e-155,0.23529411764705885,0.0625,2.2250738585072626e-308,2.2250738585072626e-308
1,"You mean Nigel Farage saying the NHS should not be used to pay for people coming to the UK as health tourists, and saying yes when the interviewer specifically asked if, with the aforementioned in mind, people with HIV were included in not being welcome.","Vous parlez de quand Nigel Farage dit que le NHS ne doit pas servir à payer pour ceux qui viennent au Royaume-Uni faire du tourisme de santé, et quand, avec ça à l'esprit, il répond oui quand l'intervieweur lui demande spécifiquement si les personnes vivant avec le VIH sont inclus dans les indésirables.","Vous voulez dire Nigel Farage disant que le NHS ne devrait pas être utilisé pour payer pour les personnes qui viennent au Royaume-Uni en tant que touristes de santé, et disant oui lorsque l'intervieweur a spécifiquement demandé si, compte tenu de ce qui précède, les personnes vivant avec le VIH ont été incluses dans le fait de ne pas être les bienvenues.",0.19554388801577322,0.46774193548387094,0.24590163934426226,0.15,0.0847457627118644
2,You raise a straw man and then knock it down with thinly veiled homophobia.,"D'abord vous utilisez des arguments spécieux, puis vous les discréditer par une homophobie à peine voilé.",Tu lèves un homme de paille et tu l'écrases avec de l'homophobie finement voilée.,0,0,0,0,0
3,Every time I or my family need to use the NHS we have to queue up behind bigots with a sense of entitlement and chronic hypochondria.,"Chaque fois que moi ou ma famille avons besoin du NHS, nous devons faire la queue derrière des intolérants à l'hypocondrie chronique qui pensent que tout leur est dû.",Chaque fois que ma famille ou moi avons besoin d'utiliser le NHS nous devons faire la queue derrière les bigots avec un sentiment de droit et d'hypochondrie chronique.,0.24447640553662225,0.5169192559137696,0.3216386481241233,0.18556075853314807,0.1157899133246844
4,I think the straw man is yours.,Je crois que c'est vous qui utilisez des arguments spécieux.,Je pense que l'homme de paille est à toi.,1.1193096620723278e-231,0.19885318151430437,1.991083571408152e-308,1.991083571408152e-308,1.991083571408152e-308
5,Health tourism as defined by the right wing loonies is virtually none existent.,"Le tourisme de santé, tel que défini par les cinglés de droite, n'existe pratiquement pas.",Le tourisme de santé tel que défini par les plongeons de l'aile droite n'existe pratiquement pas.,0.3850322886878713,0.75,0.5333333333333333,0.3571428571428572,0.15384615384615385
6,I think it's called democracy.,Je crois que c'est ce qu'on appelle la démocratie.,Je pense que ça s'appelle la démocratie.,6.227170448085464e-155,0.4294155960430205,0.12524621551254767,1.6720924800836196e-308,1.6720924800836196e-308
7,So no one would be affected by UKIP's policies against health tourism so no problem.,"Alors personne ne serait affecté par les mesures de UKIP contre le tourisme de santé, donc il n'y a aucun problème.","Ainsi, personne ne serait affecté par les politiques de l'UKIP contre le tourisme de santé, donc aucun problème.",0.4850826201208096,0.7054014374088451,0.547723469046868,0.423240862445307,0.33859268995624564
8,Only in UKIP La La Land could Carswell be described as revolutionary.,Il n'y a que dans l'univers parallèle de UKIP que Carswell peut apparaître comme un révolutionnaire.,Ce n'est qu'en UKIP La La Land que Carswell pourrait être qualifié de révolutionnaire.,5.264471767154621e-155,0.30959924991077925,0.0666829153653986,1.928867353251809e-308,1.928867353251809e-308
9,Quoting the bollox The Daily Muck spew out is not evidence.,Une citation tirée d'un torchon ne constitue par une preuve.,Citant le bollox The Daily Muck Spew out n'est pas une preuve.,5.233427736988301e-155,0.16666666666666669,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308
