,Original English,Original French,Generated French,BLEU Score,1-Gram,2-Gram,3-Gram,4-Gram
0,This is perfectly illustrated by the UKIP numbties banning people with HIV.,Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.,Ceci est parfaitement illustré par les engourdissements UKIP interdisant les personnes avec le VIH.,0.3106135504716111,0.18575954994646748,0.0666829153653986,0.8668778997501817,0.8668778997501817
1,"You mean Nigel Farage saying the NHS should not be used to pay for people coming to the UK as health tourists, and saying yes when the interviewer specifically asked if, with the aforementioned in mind, people with HIV were included in not being welcome.","Vous parlez de quand Nigel Farage dit que le NHS ne doit pas servir à payer pour ceux qui viennent au Royaume-Uni faire du tourisme de santé, et quand, avec ça à l'esprit, il répond oui quand l'intervieweur lui demande spécifiquement si les personnes vivant avec le VIH sont inclus dans les indésirables.","Vous voulez dire Nigel Farage disant que le NHS ne devrait pas être utilisé pour payer pour les personnes venant au Royaume-Uni comme touristes de santé, et disant oui lorsque l'interviewer spécifiquement demandé si, avec le mentionné à l'esprit, les personnes avec le VIH ont été inclus dans être accueillis.",0.11997931550491449,0.5273881388071793,0.24985589666520883,0.07848037779868738,0.020037543267749973
2,You raise a straw man and then knock it down with thinly veiled homophobia.,"D'abord vous utilisez des arguments spécieux, puis vous les discréditer par une homophobie à peine voilé.",Vous soulevez un homme de paille et puis l'abattre avec l'homophobie finement voilée.,0.4181117364345025,0.06107097367830394,0.7939226578179512,0.7939226578179512,0.7939226578179512
3,Every time I or my family need to use the NHS we have to queue up behind bigots with a sense of entitlement and chronic hypochondria.,"Chaque fois que moi ou ma famille avons besoin du NHS, nous devons faire la queue derrière des intolérants à l'hypocondrie chronique qui pensent que tout leur est dû.",Chaque fois que je ou ma famille ont besoin d'utiliser le NHS nous devons file vers le haut derrière les bigots avec un sens du droit et hypochondria chronique.,0.26614494566519625,0.3793103448275862,0.17857142857142858,0.07407407407407407,1.0
4,I think the straw man is yours.,Je crois que c'est vous qui utilisez des arguments spécieux.,Je pense que l'homme de paille est à vous.,0.6143868746168435,0.19885318151430437,0.8948393168143697,0.8948393168143697,0.8948393168143697
5,Health tourism as defined by the right wing loonies is virtually none existent.,"Le tourisme de santé, tel que défini par les cinglés de droite, n'existe pratiquement pas.",Le tourisme de santé tel que défini par les plongeons de l'aile droite n'existe pratiquement pas.,0.3850322886878713,0.75,0.5333333333333333,0.3571428571428572,0.15384615384615385
6,I think it's called democracy.,Je crois que c'est ce qu'on appelle la démocratie.,Je pense que c'est appelé la démocratie.,0.5249325939883762,0.5367694950537757,0.2504924310250953,0.7514772930752859,0.7514772930752859
7,So no one would be affected by UKIP's policies against health tourism so no problem.,"Alors personne ne serait affecté par les mesures de UKIP contre le tourisme de santé, donc il n'y a aucun problème.","Donc, personne ne serait affecté par les politiques de l'UKIP contre le tourisme de santé donc pas de problème.",0.3642899449507732,0.6158494284883879,0.400038945001004,0.31767798573609146,0.22502190656306478
8,Only in UKIP La La Land could Carswell be described as revolutionary.,Il n'y a que dans l'univers parallèle de UKIP que Carswell peut apparaître comme un révolutionnaire.,Seulement dans UKIP La Land pourrait Carswell être décrit comme révolutionnaire.,0.5211800066797583,0.2885165540637645,0.6347364189402819,0.6347364189402819,0.6347364189402819
9,Quoting the bollox The Daily Muck spew out is not evidence.,Une citation tirée d'un torchon ne constitue par une preuve.,Citant le bollox The Daily Muck spew out n'est pas une preuve.,0.3508439695638686,0.16666666666666669,0.0909090909090909,1.0,1.0
10,"Ah, shoot the messenger.","Oui, tirez donc sur le messager.",Tire sur le messager.,0.42888194248035344,0.45489799478447507,0.4043537731417556,0.3032653298563167,0.6065306597126334
11,"The Mail didn't write the report, it merely commented on it.","Le Mail n'a pas écrit le rapport, il n'a fait que le commenter.","Le Mail n'a pas écrit le rapport, il a simplement commenté.",0.5658266414297971,0.6063657586001313,0.5836270426526263,0.555835278716787,0.5210955737969878
12,Whoever controls most of the media in this country should undead be shot for spouting populist propaganda as fact.,Ceux qui contrôlent la majorité des médias dans ce pays devraient être fusillés pour avoir propagé une telle propagande populiste comme si c'était la réalité.,Quiconque contrôle la plupart des médias dans ce pays devrait être mort pour répandre la propagande populiste comme fait.,0.20455553831876222,0.4605555489633063,0.24307098417507833,0.17157951824123177,0.09115161906565439
13,I don't think you know what a straw man is.,Je ne pense pas que vous sachiez ce qu'est un argument spécieux.,Je ne pense pas que tu sais ce qu'est un homme de paille.,0.3867706276352344,0.6153846153846154,0.5,0.36363636363636365,0.2
14,You also don't know anything about my personal circumstances or identity so I would be very careful about trying to eradicate a debate with accusations of homophobia.,"Vous ne savez rien non plus de ma situation personnelle ou de mon identité, alors vous devriez faire attention quand vous tentez de tuer le débat par des accusations d'homophobie.",Vous ne savez également rien de mes circonstances personnelles ou de mon identité donc je serais très prudent d'essayer d'éradiquer un débat avec des accusations d'homophobie.,0.29411539159323524,0.39572488576635756,0.2057769405985059,0.1071754898950552,0.8574039191604413
15,"Farage's comment came as quite a shock, but only because it is so rarely addressed.","La phrase de Farage a beaucoup surpris, mais seulement parce qu'on parle si rarement de ce problème.","Le commentaire de Farage est venu comme tout un choc, mais seulement parce qu'il est si rarement abordé.",0.2749977595322415,0.3888888888888889,0.23529411764705885,0.0625,1.0
16,He did not express any homophobic beliefs whatsoever.,Il n'a fait absolument aucune remarque homophobe.,Il n'a pas exprimé de croyances homophobes quelque soit.,0.408248290463863,0.2222222222222222,0.12500000000000003,1.0,1.0
17,You will just have to find a way of getting over it.,Il va falloir que vous réussissiez à vous en remettre.,Vous aurez juste à trouver un moyen de surmonter.,0.5166357204442371,0.09942659075715217,0.8948393168143697,0.8948393168143697,0.8948393168143697
